firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Acadia Pharmaceuticals,20040526,ACAD,4225108,90177,16845668,0,1993,0
ACC Consumer Finance,19960516,ACCI,00079H108,83465,3800114,0,1995,0
Accelerated Networks Inc,20000622,ACCL,00429P107,88321,49737000,0,1996,0
Acceleron Pharma Inc,20130918,XLRN,00434H108,14176,27381188,0,2003,0
AccelGraphics Inc,19970411,ACCL,00430P104,84718,7906307,0,1994,0
Accent Color Sciences,19961218,ACLR,4305108,84288,9689922,0,1993,0
Accentia Biopharmaceuticals,20051027,ABPI,00430L103,90945,28869196,0,2002,0
Accenture LTD,20010719,ACN,G1150G11,89071,990444700,1,1953,0
Acceptance Insurance Holdings,19860709,ACPT,4309100,10465,1591952,0,1983,0
Access Health Marketing,19920221,ACCS,00431L102,77352,5959321,0,1986,0
ACCO WORLD CORPORATION,19830211,AWCO,433010,64688,7371000,0,1903,0
Accom,19950926,ACMM,4334108,82247,6385997,0,1987,0
Accord Networks Ltd,20000628,ACCD,M01690102,88320,19882000,0,1992,0
Accredited Home Lenders,20030214,LEND,00437P107,89684,19225289,0,1990,0
Accredo Health Inc,19990415,ACDO,00437V104,86813,8627087,0,1985,0
Accretive Health Inc,20100520,AH,00438V10,93369,90015707,0,2003,0
Accrue Software Inc,19990730,ACRU,00437W102,87050,19610046,0,1996,0
Accuray Inc,20070207,ARAY,4397105,91814,52212444,0,1993,0
Accuride Corp,20050425,ACW,4398103,90643,32622690,0,1986,0
AccuStaff,19940816,ASTF,4401105,80797,4894343,0,1992,0
Ace Cash Express,19921202,AACE,4403101,78112,4000016,0,1968,0
ACE Ltd,19930324,ACE,G0070K10,79057,49614788,0,1985,0
Ace*Comm,19960813,ACEC,4404109,83838,7392076,0,1983,0
AcelRx Pharmaceuticals Inc,20110211,ACRX,00444T100,12573,19371750,0,2005,0
Achaogen Inc,20140312,AKAO,4449104,14530,17680647,0,2002,0
Achillion Pharmaceuticals Inc,20061025,ACHN,00448Q201,91491,14848637,0,1998,0
ACI Telecentrics,19961021,ACIT,981100,84043,5600000,0,1987,0
Aclara Biosciences Inc,20000321,ACLA,00461P106,87748,31172995,0,1995,0
Aclaris Therapeutics Inc,20151007,ACRS,00461U105,15775,19407503,0,2012,0
ACLN Ltd,19980626,ACLNF,M01764105,86146,8200000,0,1978,0
ACM Muni Securities Inc Fund,19930423,AMU,942102,79132,10007200,0,1993,0
Acme Communications Inc,19990929,ACME,4631107,87219,21750000,0,1993,1
Acme Packet Inc,20061012,APKT,4764106,91493,56707490,0,2000,0
Acorda Therapeutics Inc,20060209,ACOR,00484M106,91086,19622636,0,1995,0
Acordia,19921020,ACO,4929105,78010,13371574,0,1989,0
Acorn International Inc,20070502,ATV,4854105,91973,89671364,1,1998,0
Acorn Products Inc,19970624,ACRN,4857108,84998,4748056,0,1890,0
Acquicor Technology Inc,20060315,AQR,00489A107,91190,34457072,0,2006,0
Acres Gaming,19931027,AGAM,4936100,79675,6850000,0,1985,0
Across Data Systems,19950727,ACRS,5018106,81849,5911002,0,1988,0
ACS Electronics Ltd,19970925,ACSEF,M0177010,85350,2640000,0,1985,0
ACSYS Inc,19980206,ACSY,00087X103,85800,10701208,0,1997,1
ACT Manufacturing,19950330,ACTM,973107,81470,8200000,0,1992,0
ACT Networks,19950502,ANET,975102,81599,6617621,0,1982,0
Actel,19930802,ACTL,4934105,79467,16396829,0,1985,0
Action Auto Rental,19870311,AXXN,4910105,11160,4818300,0,1984,0
Action Auto Stores,19870407,ACTA,4911103,11239,2850000,0,1969,0
"ACTION PACKETS, INC.",19841212,ACPK,504310,85084,732390,0,1981,0
Action Performance Companies,19930427,ACTN,4933107,79069,18521153,0,1992,0
Actions Semiconductor,20051129,ACTS,5.07E+12,90962,-9,0,2001,0
Active Power Inc,20000807,ACPW,00504W100,88497,37700000,0,1992,0
Active Software Inc,19990812,ASWX,5.04E+102,87155,23751372,0,1995,0
Active Voice,19931214,ACVC,4938106,79933,4249708,0,1983,0
"ACTIVISION, INC.",19830609,AVSN,504810,10701,32697000,0,1971,0
"ACTMEDIA, INC.",19831122,ACTM,504910,10720,4055000,0,1971,0
Actuate Software Corp,19980717,ACTU,00508B102,86236,13443000,0,1994,0
ACTV Inc.,19900504,IATV,8.80E+204,76290,3850018,0,1983,0
Acushnet Holdings Corp,20161028,GOLF,5098108,16434,74093598,0,1910,0
Acuson,19860916,ACSN,5113105,75469,21604959,0,1979,0
Acusphere Inc,20031007,ACUS,00511R870,89859,14248138,0,1993,0
Ad.Venture Partners Inc,20050825,AVPAU,00516Q208,.,11249997,1,2005,.
ADAC LABS,19791205,ADAC,531310,10752,2553849,0,1970,.
ADAM Software,19951110,ADAM,00088F101,82544,5194647,0,1990,0
Adamas Pharmaceuticals Inc,20140410,ADMS,00548A106,14589,16422992,0,2000,0
Adams Golf Inc,19980709,ADGO,6228100,86237,22199282,0,1987,0
Adams Respiratory Thrptcs Inc,20050720,ARXT,00635P107,90800,31968214,0,1997,0
Adaptec,19860611,ADPT,00651F108,10353,6772494,0,1981,0
Adaptimmune Therapeutics plc,20150506,ADAP,00653A107,15361,424711900,1,2008,0
Adaptive Solutions Inc,19931103,ADSO,00650P107,79787,3748920,0,1993,0
ADCO Technologies,19950214,ADCO,885103,81238,5000000,0,1993,0
Addington Resources,19870624,ADDR,6516108,11452,5600000,0,1981,0
ADDITIVE TECHNOLOGY,19840413,ADTC,668810,10795,1812000,0,1974,0
Addus Homecare Corp,20091027,ADUS,6739106,93073,10496251,0,1979,0
ADE,19951018,ADEX,00089C107,82467,8037132,0,1967,0
Adecoagro SA,20110128,AGRO,L00849106,12540,115783508,0,2002,0
Adelphia Communications,19860812,ADELA,6848105,10564,9500000,1,1952,0
Adept Technology,19951215,ADTK,6854103,82664,7506169,0,1983,0
Adeptus Health Inc,20140625,ADPT,6855100,14713,20537360,1,2002,0
ADESA,19920414,SOLD,892109,77510,9017983,0,1986,0
ADESA Inc,20040616,KAR,00686U104,90197,94850000,0,1989,0
Adesto Technologies Corp,20151027,IOTS,00687D101,15786,14678880,0,2006,0
Adeza Biomedical Corp,20041210,ADZA,6864102,90468,16452341,0,1985,0
ADFlex Solutions,19940927,AFLX,6866107,80914,6418096,0,1993,0
AdForce Inc,19990507,ADFC,6867105,86877,14669429,0,1994,0
ADIA SERVICES,19841001,ADIA,687410,85113,4003000,0,1972,0
ADMA Biologics,20131017,ADMA,899104,15056,9223943,0,2004,0
Admac,19851114,JPAC,709200,85121,4826235,0,1984,0
Administaff Inc,19970128,ASF,7094105,84385,16377329,0,1986,0
"Admiralty Bancorp Inc, FL",19980925,AAABB,7231103,86352,2216640,0,1987,0
Adobe Systems,19860813,ADBE,00724F101,75510,4737384,0,1982,0
Adolor Corp,20001113,ADLR,00724X102,88784,26800000,0,1994,0
Adstar.com Inc,19991216,ADSTU,00737P104,87557,2699970,0,1986,0
Adtec,19870224,JAIL,00738C102,11128,2000000,0,1985,0
ADTRAN,19940809,ADTN,00738A106,80791,17684690,0,1985,0
Aduro BioTech Inc,20150415,ADRO,00739L101,15282,58950504,0,2000,0
AdvaCare,19920129,AVCR,00738B104,77288,11965226,0,1986,0
Advance Amer Cash Advance Ctrs,20041215,AEA,00739W107,90493,87183270,0,1997,0
Advance Paradigm,19961008,ADVP,7491103,84046,6755998,0,1987,0
Advanced Accelerator,20151111,AAAP,00790T100,15829,38574906,0,2002,0
Advanced Analogic Technologies,20050803,AATI,00752J108,90854,40962052,0,1997,0
Advanced Communication Systems,19970627,ACSC,00750X109,84999,5636750,0,1987,0
Advanced Communications Group,19980212,ADG,00751B106,85781,19624920,0,1987,1
Advanced Deposition,19930910,ADTC,7521107,79563,3000000,0,1983,0
Advanced Disposal Services Inc,20161006,ADSW,00790X101,16435,83743542,0,2000,1
Advanced Drainage Systems Inc,20140724,WMS,00790R104,14759,52748211,0,1966,0
Advanced Electronic Support,19970213,AESP,7534100,84509,1612500,0,1983,0
Advanced Energy Industries,19951117,AEIS,7973100,82547,21306267,0,1981,0
Advanced Environmental Recyclg,19891109,AERTA,7947203,76023,11250000,0,1988,0
Advanced Fibre Communications,19960930,AFCI,00754A105,84047,24723487,0,1992,0
ADVANCED FUEL SYSTEMS,19811210,AFSI,690110,10816,3500000,0,1980,0
ADVANCED GENETIC SCI,19830922,AGSI,792010,11114,10896000,0,1979,0
Advanced Health,19961003,ADVH,00756H108,84045,6800710,0,1993,0
Advanced Instl Mgmt Software,19851126,AIMS,792700,85199,2475000,0,1978,0
Advanced Interventional Sys,19911106,LAIS,7954100,77083,8855751,0,1986,0
Advanced Life Sciences Hldgs,20050804,ADLS,00765H107,90855,17826801,0,1999,0
Advanced Lighting Technologies,19951211,ADLT,00753C102,82663,10717736,0,1983,0
Advanced Logic Research,19900411,AALR,7948102,76271,8886790,0,1984,0
ADVANCED LOGIC SYS.,19840615,ADVL,690210,10824,3706000,0,1980,0
Advanced Magnetics,19860611,ADMG,00753P103,10363,2929000,0,1981,0
Advanced Mammography Systems,19930125,MAMO,00753Q101,78831,5290000,0,1992,0
Advanced Marketing Services,19870701,ADMS,00753T105,11483,4993000,0,1982,0
Advanced Marketing Technology,19870318,AMTQ,7934201,11191,6650000,0,1984,0
Advanced Photonix,19910211,APHOA,7.54E+109,76879,3901390,1,1988,0
Advanced Polymer Systems,19870826,APOS,00754G102,11636,8229242,0,1983,0
Advanced Power Technology Inc,20000807,APTI,7.61E+110,88501,7850000,0,1984,0
Advanced Promotion Tech,19910626,APTV,7952104,76715,6654167,0,1987,0
Advanced Radio Telecom,19961105,ARTT,00754U101,84191,13559000,0,1993,0
ADVANCED SEMICONDUCTOR MAT,19810512,ASMIF,791410,11077,5750000,0,1968,0
Advanced Surgical,19930804,ASUR,00754R108,79471,7120128,0,1992,0
Advanced Switching Communic,20001004,ASCX,00757V106,88721,48374000,0,1997,0
ADVANCED SYSTEMS,19800724,ADVS,754710,65840,2500000,0,1973,0
Advanced Technology Materials,19931123,ATMI,00754X105,79799,6233302,0,1986,0
ADVANCED TELECOMM.,19831221,ATEL,792310,11149,3780000,0,1983,0
Advanced Voice Technologies,19950207,HMWK,00754W107,81253,3571497,0,1983,0
AdvancePierre Foods Hldg Inc,20160715,APFH,00782L107,16149,78586202,0,1946,.
Advancis Pharmaceutical Corp,20031016,AVNC,00764L109,89860,22689847,0,1999,0
Advantage Health,19920214,ADHC,00755P101,77344,5219364,0,1982,0
Advantage Learning System Inc,19970925,ALSI,00757K100,85353,16451133,0,1986,0
Advatex Associates,19870930,ADTX,7940109,11737,5040000,0,1976,0
Advent Software,19951115,ADVS,7974108,82546,6618934,0,1993,0
ADVEST,19801121,AVST,756610,64514,2159000,0,1977,0
Advisory Board Co,20011113,ABCO,00762W10,89203,12243943,0,1979,0
Advocat,19940510,AVC,7586100,80587,4750000,0,1994,0
AECOM Technology Corp,20070509,ACM,00766T100,91975,97607701,0,1980,0
Aegean Marine Petroleum Ntwrk,20061208,ANW,7601107,91655,40535000,0,1995,0
Aegerion Pharmaceuticals Inc,20101022,AEGR,7.67E+12,12347,16853236,0,2005,0
Aegis Consumer Funding Group,19950406,ACAR,00760G104,81536,14460594,0,1989,0
Aeglea BioTherapeutics Inc,20160406,AGLE,00773J103,16005,12929832,0,2013,0
Aehr Test Systems Inc,19970814,AEHR,00760J108,85272,6795522,0,1977,0
AEP Industries,19860130,AEPI,1031103,10025,3006250,0,1971,0
AER Energy Resources,19930701,AERN,944108,79367,14136505,0,1993,0
AerCap Holdings,20061121,AER,N00985106,91602,-9,0,1995,0
Aerial Assault,19921215,AAST,7653108,78113,2467450,0,1990,0
Aerie Pharmaceuticals,20131025,AERI,00771V108,14238,22205717,0,2005,0
Aerodyne Products,19910718,ADYN,7765100,76871,1894965,0,1976,0
Aeroflex Holding Corp,20101118,ARX,776710,12364,82250000,0,1937,0
AeroGen Inc,20001110,AEGN,7779101,88785,19400000,0,1991,0
Aerohive Networks,20140328,HIVE,7786106,14498,43606580,0,2006,0
Aeropostale Inc,20020516,ARO,786510,89399,34040507,0,1983,0
AeroVironment Inc,20070122,AVAV,8073108,91733,18872462,0,1971,0
AES,19910625,AESC,00130H105,76712,41613395,0,1981,0
AES China Generating,19940223,CHGNF,G01096109,80228,17500000,1,1993,0
Aether Systems Inc,19991020,AETH,00808Z10,87298,26066995,0,1996,0
Aetrium,19930810,ATRM,00817R103,79472,4292543,0,1982,0
AFC Cable Systems,19931216,AFCX,950105,79934,5250000,0,1990,0
AFC Enterprises Inc,20010301,AFCE,00104Q10,88940,30005000,0,1992,0
Affiliated Computer Services,19940926,ACSA,8190100,80913,12399503,1,1988,0
Affiliated Managers Group,19971121,AMG,8252108,85593,16578617,0,1988,1
Affimed Therapeutics BV,20140912,AFMD,N0104510,14923,23984167,0,2000,0
Affinity Biotech,19920414,AFBI,8265100,77511,5241582,0,1987,0
Affinity Media International,20060605,AFMI,00828Q102,.,3750000,0,2005,0
Affinity Technology Group,19960425,AFFI,00826M103,83348,27110290,0,1994,0
Affirmative Insurance Hldg Inc,20040709,AFFM,8272106,90273,16091883,0,1998,0
Affymax,20061215,AFFY,00826A109,91657,14865258,0,1988,0
Affymax NV,19911217,AFMXF,8267106,77198,14473592,0,1988,0
Affymetrix,19960606,AFFX,00826T108,83616,22238695,0,1992,0
Aftermarket Technology,19961216,ATAC,8318107,84291,16509434,0,1994,1
AG Associates,19950515,AGAI,1073105,81597,5499914,0,1981,0
"AG Automotive Warehouses,",19891010,AGAWA,1075209,76002,7625000,0,1989,0
AG Services of America,19910801,AGSV,1250109,76774,1650000,0,1985,0
AGA Medical Holdings Inc,20091020,AGAM,8368102,93074,50025520,0,1995,0
AGCO,19920416,AGCO,1084102,77520,7949384,0,1910,0
AGENCY RENT-A-CAR,19830608,AGNC,845010,11181,6000000,0,1971,0
AGENCY.COM Ltd,19991208,ACOM,8447104,87473,33747812,0,1995,0
Agere Systems Inc,20010327,AGR,00845V10,88917,1635100000,1,1989,0
Agile Software Corp,19990819,AGIL,00846X105,87153,19799000,0,1995,0
Agile Therapeutics Inc,20140523,AGRX,00847L100,14645,18592059,0,1997,0
Agilent Technologies Inc,19991117,A,00846U101,87432,452000000,0,1949,0
Agios Pharmaceuticals Inc,20130723,AGIO,00847X104,14044,31010953,0,2007,0
Agouron Pharmaceuticals,19870320,AGPH,8488108,11192,2163184,0,1984,0
Agria Corp,20071107,GRO,00850H103,92384,126400000,1,2000,0
Agridyne Technologies,19920214,AGRI,00853T104,77341,6487465,0,1973,0
Agristar,19890316,AGRS,00854C100,75736,12000000,0,1987,0
AHI Healthcare Systems,19950928,AHIS,1290105,82249,14523041,0,1987,0
AHL Services Inc,19970327,AHLS,1296102,84595,10853430,0,1979,0
AIA INDUSTRIES,19830721,AIAI,132010,10269,5352000,0,1981,0
AICorp,19900625,AICP,8707101,76206,7687049,0,1975,0
Aid,19851030,AIDC,871000,85201,6465937,0,1971,0
Aid Auto Stores,19950410,AIDA,8709107,81538,3800000,0,1953,0
AIFS,19860205,AIFS,1366103,10029,3220367,0,1967,0
Aimmune Therapeutics Inc,20150806,AIMT,00900T107,15630,42179537,0,2011,0
Air & Water Technologies,19890810,AWT,9058108,75793,13987000,1,1967,0
Air Lease Corp,20110418,AL,00912X302,12641,95676169,1,2010,0
"AIR ONE, INC.",19831109,AONE,913810,11360,8800000,0,1981,0
Air-Cure Environmental,19901214,AIRE,9101106,76543,2476000,0,1990,0
AIRCAL INC.,19830825,ACAL,928010,67125,8500000,0,1971,0
Aircastle Ltd,20060807,AYR,G0129K104,91426,51446535,0,2004,0
Airgain Inc,20160812,AIRG,00938A104,16247,7237615,0,1995,0
Airgas,19861219,AGA,9363102,70308,3847200,0,1982,0
AirGate PCS Inc,19990927,PCSA,9367103,87248,10952201,0,1987,0
Airlease Ltd,19861003,FLY,9366105,70316,4625000,0,1986,0
AirMedia Group Inc,20071106,AMCN,9411109,92427,129425925,1,2005,0
AirNet Communications Corp,19991207,ANCC,00941P10,87474,22224000,0,1994,0
AirNet Systems,19960530,ANSY,9417106,83467,17078378,0,1974,0
